CookerStat, GenerateAssetRegistry=0.022121, Initialize=0.121679, RunGuid=RunIDDB4997E147AE06B1153370845DA0DA1A
DDCTransactionIdAB77509041A50ECCA881CE835CD4A904_5, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_893D2B7040B44CC846784B8D938C3FF7__1_0_13123_0, StartTime=2016.11.11-15.22.06, HierarchicalDDC=, DataSize=447, Duration=2.778865, RunGuid=RunIDDB4997E147AE06B1153370845DA0DA1A
DDCTransactionId12092766489FE85FFA48DDA3F891E6E1_5, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_F8F019FF4921C47922C77184ED5908FC__1_0_13123_0, StartTime=2016.11.11-15.22.06, HierarchicalDDC=, DataSize=385, Duration=3.693040, RunGuid=RunIDDB4997E147AE06B1153370845DA0DA1A
DDCTransactionId181B0D5A40CD8810C519758BC3F366B1_6, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_C660E5C845691E4A36DF81BB8DCC6925__1_0_13123_0, StartTime=2016.11.11-15.22.06, HierarchicalDDC=, DataSize=1500, Duration=2.269238, RunGuid=RunIDDB4997E147AE06B1153370845DA0DA1A
DDCTransactionIdAB77509041A50ECCA881CE835CD4A904_6, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_D060493A4E52B084B16B5298A02BAE04__1_0_13123_0, StartTime=2016.11.11-15.22.06, HierarchicalDDC=, DataSize=1581, Duration=2.605431, RunGuid=RunIDDB4997E147AE06B1153370845DA0DA1A
DDCTransactionId12092766489FE85FFA48DDA3F891E6E1_6, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_B78809454F1155A6A74956B587F0325D__1_0_13123_0, StartTime=2016.11.11-15.22.06, HierarchicalDDC=, DataSize=1063, Duration=1.797136, RunGuid=RunIDDB4997E147AE06B1153370845DA0DA1A
DDCTransactionId181B0D5A40CD8810C519758BC3F366B1_7, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_7023DD8B4F8CC85526F624BCCE2A7432__1_0_13123_0, StartTime=2016.11.11-15.22.06, HierarchicalDDC=, DataSize=939, Duration=1.865085, RunGuid=RunIDDB4997E147AE06B1153370845DA0DA1A
DDCTransactionIdAB77509041A50ECCA881CE835CD4A904_7, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_B96A0AAD4C1C5F67C703C88420DE7C01__1_0_13123_0, StartTime=2016.11.11-15.22.06, HierarchicalDDC=, DataSize=918, Duration=1.933828, RunGuid=RunIDDB4997E147AE06B1153370845DA0DA1A
DDCTransactionId12092766489FE85FFA48DDA3F891E6E1_7, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_F591F9D04308CCC1EE5E8A95F981363D__1_0_13123_0, StartTime=2016.11.11-15.22.06, HierarchicalDDC=, DataSize=1529, Duration=2.012048, RunGuid=RunIDDB4997E147AE06B1153370845DA0DA1A
DDCTransactionId181B0D5A40CD8810C519758BC3F366B1_8, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_541372D74C792286EF2547A9A8215E89__1_0_13123_0, StartTime=2016.11.11-15.22.06, HierarchicalDDC=, DataSize=1247, Duration=1.961481, RunGuid=RunIDDB4997E147AE06B1153370845DA0DA1A
DDCTransactionIdAB77509041A50ECCA881CE835CD4A904_8, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_EE0C425347C9785BA32FD9A5C1FF94E0__1_0_13123_0, StartTime=2016.11.11-15.22.06, HierarchicalDDC=, DataSize=509, Duration=2.867360, RunGuid=RunIDDB4997E147AE06B1153370845DA0DA1A
